"peak_number","name","formula","calc_mw","m_z","rt_min","sample_location"
1251,"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one","C30 H46 O3",454.3447,455.35196,23.72,"digesterD"
2801,"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one","C30 H46 O3",454.34471,455.35199,20.905,"feedpump"
1251,"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one","C30 H46 O3",454.3447,455.35196,23.72,"newdry"
1251,"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one","C30 H46 O3",454.3447,455.35196,23.72,"olddry"
3806,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O",223.19361,224.20089,22.709,"digesterA"
3806,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O",223.19361,224.20089,22.709,"digesterC"
3806,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O",223.19361,224.20089,22.709,"mix"
2883,"(2E,4E)-N-(2-methylpropyl)dodeca-2,4-dienamide","C16 H29 N O",251.22489,252.23216,20.995,"control"
2883,"(2E,4E)-N-(2-methylpropyl)dodeca-2,4-dienamide","C16 H29 N O",251.22489,252.23216,20.995,"mix"
1133,"(2E,6E)-10,11,15,19,23,27,31,35-Octahydroxy-3,7,11,15,19,23,27,31,35-nonamethyl-2,6-hexatriacontadien-1-yl hexopyranoside","C51 H98 O14",934.69475,935.70203,23.803,"control"
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",254.15184,255.15908,16.726,"centrin"
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",254.15184,255.15908,16.726,"control"
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",254.15184,255.15908,16.726,"digesterC"
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",254.15184,255.15908,16.726,"digesterD"
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",254.15184,255.15908,16.726,"feedpump"
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",254.15184,255.15908,16.726,"newdry"
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",254.15184,255.15908,16.726,"olddry"
1684,"(2S,3S)-2-[(1E,3S,4R)-3,4-dihydroxypent-1-en-1-yl]-6-oxo-3,6-dihydro-2H-pyran-3-yl (2E)-2-methylbut-2-enoate","C15 H20 O6",296.12611,297.13338,20.224,"control"
3297,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3",278.06921,279.07648,10.755,"feedpump"
4209,"(4-benzoylpiperidino)[4-(tert-butyl)phenyl]methanone","C23 H27 N O2",349.20526,350.21253,22.886,"mix"
1641,"(E)-Squalene","C30 H50",410.39127,411.39855,22.105,"centrin"
1641,"(E)-Squalene","C30 H50",410.39127,411.39855,22.105,"digesterA"
1641,"(E)-Squalene","C30 H50",410.39127,411.39855,22.105,"digesterC"
1641,"(E)-Squalene","C30 H50",410.39127,411.39855,22.105,"digesterD"
1641,"(E)-Squalene","C30 H50",410.39127,411.39855,22.105,"newdry"
1641,"(E)-Squalene","C30 H50",410.39127,411.39855,22.105,"olddry"
3656,"(R)-Lisofylline","C13 H20 N4 O3",280.15247,298.18647,17.051,"digesterB"
5056,"(Z)-Hexadec-9-enoic acid","C16 H30 O2",254.22453,255.23181,22.446,"feedpump"
3489,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",239.18851,240.19579,18.124,"control"
3593,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",239.18851,240.19579,17.047,"feedpump"
4517,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",239.18849,240.19577,18.794,"mix"
3593,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",239.18851,240.19579,17.047,"olddry"
900,"1,3-Diphenylacetone","C15 H14 O",210.10446,211.11174,18.907,"centrin"
900,"1,3-Diphenylacetone","C15 H14 O",210.10446,211.11174,18.907,"control"
900,"1,3-Diphenylacetone","C15 H14 O",210.10446,211.11174,18.907,"digesterB"
900,"1,3-Diphenylacetone","C15 H14 O",210.10446,211.11174,18.907,"mix"
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",328.26152,329.26883,22.438,"centrin"
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",328.26152,329.26883,22.438,"digesterB"
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",328.26152,329.26883,22.438,"digesterC"
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",328.26152,329.26883,22.438,"digesterD"
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",328.26152,329.26883,22.438,"feedpump"
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",328.26152,329.26883,22.438,"newdry"
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",328.26152,329.26883,22.438,"olddry"
4308,"1-(piperidinomethyl)-2-naphthol","C16 H19 N O",241.14666,242.15395,17.163,"control"
4308,"1-(piperidinomethyl)-2-naphthol","C16 H19 N O",241.14666,242.15395,17.163,"feedpump"
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24048,254.24775,22.289,"centrin"
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24048,254.24775,22.289,"control"
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24048,254.24775,22.289,"digesterA"
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24048,254.24775,22.289,"digesterB"
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24048,254.24775,22.289,"digesterC"
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24048,254.24775,22.289,"digesterD"
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24048,254.24775,22.289,"feedpump"
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24048,254.24775,22.289,"mix"
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24048,254.24775,22.289,"newdry"
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",253.24048,254.24775,22.289,"olddry"
2538,"1-Hexadecanesulfonic acid","C16 H34 O3 S",306.22243,630.47914,22.128,"feedpump"
3355,"1-Linoleoyl glycerol","C21 H38 O4",354.27712,355.2844,21.439,"centrin"
3355,"1-Linoleoyl glycerol","C21 H38 O4",354.27712,355.2844,21.439,"digesterA"
3355,"1-Linoleoyl glycerol","C21 H38 O4",354.27712,355.2844,21.439,"digesterB"
3355,"1-Linoleoyl glycerol","C21 H38 O4",354.27712,355.2844,21.439,"feedpump"
3355,"1-Linoleoyl glycerol","C21 H38 O4",354.27712,355.2844,21.439,"newdry"
1928,"1-Naphthol","C10 H8 O",144.05754,145.06482,18.629,"mix"
3402,"1-Pentyl-1H-indole-3-carboxylic acid","C14 H17 N O2",231.12591,232.13318,17.823,"centrin"
3402,"1-Pentyl-1H-indole-3-carboxylic acid","C14 H17 N O2",231.12591,232.13318,17.823,"digesterB"
3402,"1-Pentyl-1H-indole-3-carboxylic acid","C14 H17 N O2",231.12591,232.13318,17.823,"digesterC"
3402,"1-Pentyl-1H-indole-3-carboxylic acid","C14 H17 N O2",231.12591,232.13318,17.823,"newdry"
3402,"1-Pentyl-1H-indole-3-carboxylic acid","C14 H17 N O2",231.12591,232.13318,17.823,"olddry"
6,"1-Tetradecylamine","C14 H31 N",213.24558,214.25286,20.391,"centrin"
755,"1-Tetradecylamine","C14 H31 N",213.24564,214.25292,18.391,"control"
6,"1-Tetradecylamine","C14 H31 N",213.24558,214.25286,20.391,"digesterA"
6,"1-Tetradecylamine","C14 H31 N",213.24558,214.25286,20.391,"digesterB"
6,"1-Tetradecylamine","C14 H31 N",213.24558,214.25286,20.391,"digesterC"
6,"1-Tetradecylamine","C14 H31 N",213.24558,214.25286,20.391,"digesterD"
6,"1-Tetradecylamine","C14 H31 N",213.24558,214.25286,20.391,"feedpump"
6,"1-Tetradecylamine","C14 H31 N",213.24558,214.25286,20.391,"mix"
6,"1-Tetradecylamine","C14 H31 N",213.24558,214.25286,20.391,"newdry"
6,"1-Tetradecylamine","C14 H31 N",213.24558,214.25286,20.391,"olddry"
5249,"1-[2-Hydroxy-3-(phenylthio)propyl]piperidine-4-carboxamide","C15 H22 N2 O2 S",294.14105,295.14833,20.239,"mix"
3655,"1-ethyl-4-(2-phenylethynyl)piperidin-4-ol","C15 H19 N O",229.14666,230.15394,18.675,"feedpump"
668,"1-oleoylglycerol","C21 H40 O4",356.29273,379.28193,23.631,"centrin"
668,"1-oleoylglycerol","C21 H40 O4",356.29273,379.28193,23.631,"digesterA"
668,"1-oleoylglycerol","C21 H40 O4",356.29273,379.28193,23.631,"digesterB"
668,"1-oleoylglycerol","C21 H40 O4",356.29273,379.28193,23.631,"digesterC"
668,"1-oleoylglycerol","C21 H40 O4",356.29273,379.28193,23.631,"digesterD"
668,"1-oleoylglycerol","C21 H40 O4",356.29273,379.28193,23.631,"feedpump"
668,"1-oleoylglycerol","C21 H40 O4",356.29273,379.28193,23.631,"newdry"
668,"1-oleoylglycerol","C21 H40 O4",356.29273,379.28193,23.631,"olddry"
2075,"10-HDA","C10 H18 O3",186.12562,187.1329,22.379,"control"
2075,"10-HDA","C10 H18 O3",186.12562,187.1329,22.379,"digesterB"
2075,"10-HDA","C10 H18 O3",186.12562,187.1329,22.379,"feedpump"
2075,"10-HDA","C10 H18 O3",186.12562,187.1329,22.379,"mix"
1558,"10-[(acetyloxy)methyl]-6-formyl-3-methylidene-2-oxo-2H,3H,3aH,4H,5H,8H,9H,11aH-cyclodeca[b]furan-4-yl 2-methylbutanoate","C22 H28 O7",404.18348,427.17268,16.833,"mix"
1696,"11(Z),14(Z),17(Z)-Eicosatrienoic acid","C20 H34 O2",306.25608,307.26332,24.022,"feedpump"
3698,"11,13-Dihydroxy-4-methyl-4,5,6,7,8,9-hexahydro-2H-3-benzoxacyclododecine-2,10(1H)-dione","C16 H20 O5",292.13113,293.13841,19.511,"centrin"
3698,"11,13-Dihydroxy-4-methyl-4,5,6,7,8,9-hexahydro-2H-3-benzoxacyclododecine-2,10(1H)-dione","C16 H20 O5",292.13113,293.13841,19.511,"digesterD"
3698,"11,13-Dihydroxy-4-methyl-4,5,6,7,8,9-hexahydro-2H-3-benzoxacyclododecine-2,10(1H)-dione","C16 H20 O5",292.13113,293.13841,19.511,"newdry"
3698,"11,13-Dihydroxy-4-methyl-4,5,6,7,8,9-hexahydro-2H-3-benzoxacyclododecine-2,10(1H)-dione","C16 H20 O5",292.13113,293.13841,19.511,"olddry"
1651,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",344.19888,345.20616,18.348,"centrin"
2077,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",344.19897,345.20625,19.107,"digesterA"
2077,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",344.19897,345.20625,19.107,"digesterB"
1356,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",344.19899,345.20627,19.256,"digesterC"
1356,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",344.19899,345.20627,19.256,"digesterD"
1651,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",344.19888,345.20616,18.348,"newdry"
3454,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",344.1989,345.20618,21.046,"olddry"
1159,"12-Oxo phytodienoic acid","C18 H28 O3",292.20389,293.21116,17.538,"centrin"
1159,"12-Oxo phytodienoic acid","C18 H28 O3",292.20389,293.21116,17.538,"digesterB"
3527,"12-Oxo phytodienoic acid","C18 H28 O3",292.20385,293.21112,18.199,"feedpump"
1159,"12-Oxo phytodienoic acid","C18 H28 O3",292.20389,293.21116,17.538,"newdry"
4150,"13(S)-HOTrE","C18 H30 O3",294.21962,295.2269,18.568,"feedpump"
2975,"15-Crown-5","C10 H20 O5",220.13112,221.1384,14.254,"newdry"
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",284.23517,285.24243,22.349,"centrin"
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",284.23517,285.24243,22.349,"control"
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",284.23517,285.24243,22.349,"digesterA"
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",284.23517,285.24243,22.349,"digesterB"
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",284.23517,285.24243,22.349,"feedpump"
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",284.23517,285.24243,22.349,"newdry"
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",284.23517,285.24243,22.349,"olddry"
391,"17-Methyltestosterone","C20 H30 O2",302.22471,303.23195,23.017,"centrin"
85,"17-Methyltestosterone","C20 H30 O2",302.22475,320.25858,19.694,"digesterA"
391,"17-Methyltestosterone","C20 H30 O2",302.22471,303.23195,23.017,"digesterB"
391,"17-Methyltestosterone","C20 H30 O2",302.22471,303.23195,23.017,"digesterC"
391,"17-Methyltestosterone","C20 H30 O2",302.22471,303.23195,23.017,"digesterD"
391,"17-Methyltestosterone","C20 H30 O2",302.22471,303.23195,23.017,"feedpump"
391,"17-Methyltestosterone","C20 H30 O2",302.22471,303.23195,23.017,"newdry"
391,"17-Methyltestosterone","C20 H30 O2",302.22471,303.23195,23.017,"olddry"
115,"17beta-Estradiol","C18 H24 O2",272.17755,273.18483,20.433,"centrin"
115,"17beta-Estradiol","C18 H24 O2",272.17755,273.18483,20.433,"digesterA"
115,"17beta-Estradiol","C18 H24 O2",272.17755,273.18483,20.433,"digesterB"
254,"17beta-Estradiol","C18 H24 O2",272.17755,273.18482,20.53,"digesterC"
254,"17beta-Estradiol","C18 H24 O2",272.17755,273.18482,20.53,"digesterD"
115,"17beta-Estradiol","C18 H24 O2",272.17755,273.18483,20.433,"feedpump"
115,"17beta-Estradiol","C18 H24 O2",272.17755,273.18483,20.433,"newdry"
312,"17beta-Estradiol","C18 H24 O2",272.17765,273.18492,20.667,"olddry"
757,"17α-Methyl-androstan-3-hydroxyimine-17β-ol","C20 H33 N O2",319.2514,320.25868,19.278,"digesterA"
757,"17α-Methyl-androstan-3-hydroxyimine-17β-ol","C20 H33 N O2",319.2514,320.25868,19.278,"digesterB"
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",157.14669,158.15396,16.304,"centrin"
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",157.14669,158.15396,16.304,"control"
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",157.14669,158.15396,16.304,"digesterA"
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",157.14669,158.15396,16.304,"digesterB"
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",157.14669,158.15396,16.304,"digesterC"
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",157.14669,158.15396,16.304,"digesterD"
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",157.14669,158.15396,16.304,"feedpump"
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",157.14669,158.15396,16.304,"mix"
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",157.14669,158.15396,16.304,"newdry"
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",157.14669,158.15396,16.304,"olddry"
1860,"2,4-Di-tert-butylphenol","C14 H22 O",206.16706,207.17434,20.636,"centrin"
2461,"2,4-Di-tert-butylphenol","C14 H22 O",206.16711,207.17439,20.571,"digesterA"
2221,"2,4-Di-tert-butylphenol","C14 H22 O",206.16705,207.17432,20.746,"digesterB"
2461,"2,4-Di-tert-butylphenol","C14 H22 O",206.16711,207.17439,20.571,"digesterC"
2457,"2,4-Di-tert-butylphenol","C14 H22 O",206.16707,207.17434,20.514,"digesterD"
2461,"2,4-Di-tert-butylphenol","C14 H22 O",206.16711,207.17439,20.571,"feedpump"
1860,"2,4-Di-tert-butylphenol","C14 H22 O",206.16706,207.17434,20.636,"newdry"
1860,"2,4-Di-tert-butylphenol","C14 H22 O",206.16706,207.17434,20.636,"olddry"
3881,"2,5-Anhydro-4,6-dideoxy-6-{[(1-methyl-1H-pyrazol-4-yl)carbonyl]amino}-4-(4-phenyl-1-piperazinyl)-D-galactitol","C21 H29 N5 O4",415.22148,416.22876,18.48,"centrin"
4655,"2,5-Anhydro-4,6-dideoxy-6-{[(1-methyl-1H-pyrazol-4-yl)carbonyl]amino}-4-(4-phenyl-1-piperazinyl)-D-galactitol","C21 H29 N5 O4",415.22164,416.22891,17.681,"digesterB"
4545,"2,5-Anhydro-4,6-dideoxy-6-{[(1-methyl-1H-pyrazol-4-yl)carbonyl]amino}-4-(4-phenyl-1-piperazinyl)-D-galactitol","C21 H29 N5 O4",415.22145,416.22873,17.805,"digesterC"
4346,"2-(1,3-benzodioxol-5-yl)-7-ethylimidazo[1,2-a]pyridine","C16 H14 N2 O2",266.10554,267.11281,17.105,"digesterA"
226,"2-(8-Hydroxy-4a,8-dimethyldecahydro-2-naphthalenyl)acrylic acid","C15 H24 O3",252.17254,275.16177,19.307,"mix"
788,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",297.26691,298.27418,22.225,"centrin"
788,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",297.26691,298.27418,22.225,"digesterC"
788,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",297.26691,298.27418,22.225,"digesterD"
788,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",297.26691,298.27418,22.225,"feedpump"
1839,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",297.26692,298.27419,21.373,"mix"
1839,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",297.26692,298.27419,21.373,"newdry"
788,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",297.26691,298.27418,22.225,"olddry"
2103,"2-Arachidonoyl glycerol","C23 H38 O4",378.27702,379.2843,22.307,"digesterD"
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",320.1738,321.18109,14.561,"centrin"
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",320.1738,321.18109,14.561,"digesterA"
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",320.1738,321.18109,14.561,"digesterB"
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",320.1738,321.18109,14.561,"digesterC"
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",320.1738,321.18109,14.561,"feedpump"
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",320.1738,321.18109,14.561,"newdry"
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",320.1738,321.18109,14.561,"olddry"
2511,"2-Ethylmethcathinone","C12 H17 N O",191.13102,192.1383,16.546,"centrin"
2511,"2-Ethylmethcathinone","C12 H17 N O",191.13102,192.1383,16.546,"digesterA"
2511,"2-Ethylmethcathinone","C12 H17 N O",191.13102,192.1383,16.546,"digesterC"
2511,"2-Ethylmethcathinone","C12 H17 N O",191.13102,192.1383,16.546,"digesterD"
239,"2-Hydroxybenzothiazole","C7 H5 N O S",151.00923,152.01651,12.502,"digesterA"
239,"2-Hydroxybenzothiazole","C7 H5 N O S",151.00923,152.01651,12.502,"digesterB"
4785,"2-Methylbenzophenone","C14 H12 O",196.0889,197.09617,18.453,"control"
4785,"2-Methylbenzophenone","C14 H12 O",196.0889,197.09617,18.453,"mix"
1586,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",315.20471,316.21199,6.611,"centrin"
1186,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",315.20469,316.21197,7.552,"control"
2489,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",315.20474,316.21202,1.274,"digesterA"
1186,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",315.20469,316.21197,7.552,"digesterB"
1186,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",315.20469,316.21197,7.552,"digesterD"
1186,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",315.20469,316.21197,7.552,"feedpump"
